id,datetime,,user_question,bot_response
cthr_68f76a6d05c88193b853d5b597285a77079ea818bb51d31a,2025-10-21 11:11,AI i eksamenssamtale,kan jeg bruke ki på eksamen,"Kort svar: Nei, du kan ikke bruke KI under selve eksamen.

- Skriftlig eksamen og eksamener med begrenset internett: Det er ikke lov å bruke kunstig intelligens til å lage innhold i besvarelsen. Dette regnes som ulovlig hjelpemiddel og kommunikasjon  .
- Juks: Å bruke chatbot eller tilsvarende teknologi regnes som juks. Konsekvensen kan være at eksamen blir annullert, og at du må vente minst ett år før du kan gå opp i faget igjen  .
- Muntlig/muntlig-praktisk: I forberedelsestiden er digitale verktøy og åpent internett tillatt, men under selve eksamen kan du kun bruke notatene du laget i forberedelsen. Ikke bruk KI under selve eksamen .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Denne responsen er KI-generert og kan inneholde feil."
cthr_68f76d56982c8194828b80f7e06f17880be250dacf3fb121,2025-10-21 11:24,Bruk av KI i eksamen,Kan jeg bruke KI på eksamen ?,"Kort svar: Nei, du kan ikke bruke KI til å lage innhold på skriftlig eksamen. Bruk av chatbot/kunstig intelligens regnes som juks og kan føre til annullert eksamen og karantene i ett år  .

Detaljer:
- Skriftlig eksamen (og todelte eksamener): Det er ikke lov å bruke KI til å generere tekst i besvarelsen. Kommunikasjon med andre, samskriving og chat er også forbudt . Bruk av chatbot eller tilsvarende teknologi regnes som juks, med konsekvenser som annullering og at du tidligst kan gå opp igjen etter ett år . I språkfag er også oversettelsesprogrammer forbudt, og du kan ikke bruke oversettelsesfunksjoner i verktøy som Word eller Pages .
- Muntlig og muntlig-praktisk – forberedelsestid: I forberedelsestiden er alle hjelpemidler tillatt. Du kan bruke digitale verktøy og åpent internett. Under selve eksamen kan du bare bruke notater du laget i forberedelsestiden  .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f76d56982c8194828b80f7e06f17880be250dacf3fb121,2025-10-21 11:26,Bruk av KI i eksamen,Hvor mye koster det da ?,"Pris for privatisteksamen:
- 1 356 kroner per eksamen hvis du ikke har bestått fra før, eller ikke har standpunkt/eksamenskarakter i faget .
- 2 713 kroner per eksamen hvis du vil forbedre en karakter du allerede har bestått .

Viktig å vite:
- Du betaler med kort når du melder deg opp. Oppmeldingen er ikke gyldig før betalingen er registrert .
- Avgiften blir ikke refundert hvis du trekker deg etter fristen for oppmelding .
- I språkfag betaler du to avgifter (muntlig + skriftlig). I norsk betaler du tre (hovedmål, sidemål, muntlig). I realfag nivå 2 (f.eks. fysikk, kjemi, biologi, IT, teknologi og forskningslære, geofag) betaler du to (skriftlig + muntlig-praktisk) .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f76d56982c8194828b80f7e06f17880be250dacf3fb121,2025-10-21 11:27,Bruk av KI i eksamen,Hvordan blir været under eksamen ?,"Ikke relevant

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f777fabb488190aca541d5c582ba170b0d7e4596d4af57,2025-10-21 12:09,Samtale om matematikk 1PY eksamen,Hvordan går jeg frem for å få eksamen i matematikk 1PY,"Slik går du frem for å ta eksamen i matematikk 1PY som privatist:

1) Meld deg opp i Privatistportalen
- Logg inn via ID-porten, velg matematikk 1PY, og betal eksamensavgiften i portalen. Oppmeldingen er først gyldig når du har betalt. Portalen er åpen 1.–15. september for høsteksamen og 15. januar–1. februar for våreksamen . Pris per eksamen er fastsatt i statsbudsjettet; du betaler før fristen, og beløpet refunderes ikke etter fristen . Husk at du selv er ansvarlig for å velge riktig fag i portalen .

2) Sett deg inn i hva du skal kunne
- Du blir vurdert etter kompetansemålene i læreplanen. Se læreplanen hos Utdanningsdirektoratet. Du kan bruke valgfri lærebok, og finne nyttig stoff på NDLA .

3) Vit når og hvor du skal møte
- Dato for skriftlig eksamen får du i Privatistportalen når du melder deg opp. Skriftlig eksamen gjennomføres som hovedregel i Porsgrunn Tennishall, med oppmøte kl. 08:00 .

4) Forstå hvordan eksamen i matematikk gjennomføres
- Matematikk har todelt skriftlig eksamen. På del 1 kan du bruke skrivesaker, passer, linjal og vinkelmåler. Del 1 leveres på papir. På del 2 bruker du PC, har begrenset tilgang til internett og kan bruke tillatte digitale hjelpemidler. Del 2 kan leveres elektronisk eller på papir. Du må selv ta med PC med nødvendig programvare (for eksempel GeoGebra og regneark), installert på forhånd  .

5) Hjelpemidler og regler på eksamensdagen
- Eksamen gjennomføres med begrenset tilgang til internett. Kommunikasjon med andre er ikke lov, og bruk av kunstig intelligens til å lage innhold er forbudt. Se kandidat.udir.no for fagspesifikke hjelpemidler og detaljer for faget ditt  .

6) Tilrettelegging (hvis du trenger det)
- Du kan søke om tilrettelegging etter at du har meldt deg opp og betalt. Frist er 25. september (høst) og 10. februar (vår). Last opp dokumentasjon når du søker i Privatistportalen .

7) Gyldig legitimasjon
- Du må ta med gyldig legitimasjon for å få gjennomføre eksamen .

Kort oppsummert: Meld deg opp og betal i Privatistportalen innen fristen, forbered deg etter læreplanen, møt opp med PC og riktige hjelpemidler, og følg reglene for todelt eksamen i matematikk.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Svar fra KI. Det kan inneholde feil."
cthr_68f7ca7426e081959a59cb6881f679e20778f614ab5d09c6,2025-10-21 18:01,Eksamens starttid,Når starter eksamen?,"Kort svar:
- Skriftlig eksamen: Oppmøtetid er kl. 08.00 for de fleste, i Porsgrunn Tennishall. Etter legitimasjonskontroll og oppstartsinformasjon settes eksamen i gang kort tid etter oppmøte .
- Muntlig og muntlig-praktisk: Går mandag til torsdag på ettermiddag/kveld. Du får klokkeslett i Privatistportalen. Døren stenges når eksamen starter, så møt i god tid .
- Praktisk eksamen: Tidspunkt får du i forberedelsesdelen. Selve eksamen varer inntil 5 timer inkludert vurdering .

Husk gyldig legitimasjon ved oppstart, ellers får du ikke starte eksamen .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Dette svaret er KI-generert og kan inneholde feil."
cthr_68f7cae44fac8195b797af7bef7f5548020c3e9fa1f92eb9,2025-10-21 18:03,Spørsmål om eksamens start,Når starter eksamen,"Tidspunktet for når din eksamen starter finner du i Privatistportalen, der du har meldt deg opp. For muntlig og muntlig-praktisk eksamen får du opplysning om dato og sted ca. 1. april for våreksamen og ca. 1. november for høsteksamen. For praktisk eksamen publiseres dato og sted fortløpende i Privatistportalen når du klikker på faget ditt. For skriftlig eksamen er datoen oppgitt når du melder deg opp, og denne gjennomføres for de fleste i Porsgrunn Tennishall med oppmøte kl. 08.00. Husk å møte opp presis. Du får ikke gjennomføre eksamen dersom du kommer for sent eller mangler gyldig legitimasjon. 

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no
Denne responsen er KI-generert og kan inneholde feil."
cthr_68f7cb9182288195a6460b80c62fab620618a0d409154b94,2025-10-21 18:06,Samtale om eksamensstart,Når starter eksamen,"Tidspunktet for når eksamen starter, avhenger av hvilken type eksamen du skal ta:

- For skriftlig eksamen er oppmøtetid kl. 08.00. Dette gjelder for de aller fleste privatister, og eksamen foregår vanligvis i Porsgrunn Tennishall. Det er viktig å møte opp i god tid før eksamen starter, og husk å ta med gyldig legitimasjon. Hvis du kommer for sent, får du ikke gjennomføre eksamen.

- For muntlig og muntlig-praktisk eksamen får du oppgitt eksamensdato og tidspunkt i Privatistportalen. Disse eksamenene foregår hovedsakelig på Skien videregående skole, og du må møte opp til det tidspunktet som står oppført for deg. Døren stenges når eksamen starter, og du må regne med noe ventetid. Det er ikke mulig å bytte tidspunkt eller sted for eksamen.

- For praktisk eksamen får du informasjon om dato og sted fortløpende i Privatistportalen. Eksamenstid er inntil 5 timer inkludert vurdering, og du får nærmere beskjed om oppmøtetid og sted i god tid før eksamen.

Sjekk alltid Privatistportalen for eksakt tidspunkt og sted for din eksamen.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f7cba7919c8195aab3acd42fb0a3660b4a8aabfd106bde,2025-10-21 18:06,Lasagne oppskrift dialog,Har du oppskriften på en god lasange,"Ikke relevant

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f7cca4a4888194bc87d694e1dc5e67097985a49796e821,2025-10-21 18:10,KI i eksamen diskusjon,Kan man bruke KI på eksamen,"Nei, du har ikke lov til å bruke kunstig intelligens (KI) til å lage innhold i svaret ditt på eksamen. Det regnes som juks å bruke chatbot eller lignende teknologi under eksamen. Dersom du bruker KI, kan eksamen bli annullert, og du kan tidligst gå opp til ny eksamen etter ett år. Det er viktig at alt innhold du leverer på eksamen er ditt eget arbeid uten hjelp fra KI-verktøy.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f87308eadc8194a4f28f1985c6f7450d801c5ebbf9eaf0,2025-10-22 06:00,Privatist Eksamenskapasitet,Hvor mange eksamener kan jeg ta som privatist?,"Det er ingen øvre grense for hvor mange eksamener du kan ta som privatist. Du kan selv velge hvor mange fag du vil melde deg opp til i hver eksamensperiode. Det er viktig å merke seg at du må betale en eksamensavgift for hvert fag du melder deg opp til, og at oppmeldingen ikke er gyldig før avgiften er betalt. Du kan heller ikke melde deg opp til eksamen i flere fylker i samme eksamensperiode.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f87308eadc8194a4f28f1985c6f7450d801c5ebbf9eaf0,2025-10-22 06:01,Privatist Eksamenskapasitet,Når gjennomføres eksamen,"1. Hvor mange eksamener kan jeg ta som privatist?
Det er ingen øvre grense for hvor mange eksamener du kan ta som privatist i en eksamensperiode. Du kan selv velge hvor mange fag du ønsker å melde deg opp til, men du må betale eksamensavgift for hvert fag. Det er viktig å merke seg at det ikke er mulig å melde seg opp til eksamen i flere fylker i samme eksamensperiode, og at du selv er ansvarlig for å melde deg opp i riktig fagkode.

2. Når gjennomføres eksamen?
Privatisteksamen arrangeres to ganger i året:
- Høsteksamen: november - desember
- Våreksamen: april – juni

Dato og sted for muntlig og muntlig-praktisk eksamen publiseres i Privatistportalen ca. 1. november for høsteksamen og ca. 1. april for våreksamen. Skriftlig eksamen arrangeres hovedsakelig i Porsgrunn Tennishall, og datoene finner du i Privatistportalen når du melder deg opp.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f87abc66608190818570f77c1bffed0ca0fe1834f5b347,2025-10-22 06:33,Hello from AI,Hei,"Hei! Hvordan kan jeg hjelpe deg med spørsmål om privatisteksamen i dag?

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f87adb1e088195ad10df05c5dff2bf0ad4b8247ddbbfe0,2025-10-22 06:34,Hello from AI,hei,"Hei! Hvordan kan jeg hjelpe deg med spørsmål om privatisteksamen i dag?

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f884b71bcc8190b84ecf3011a6dd45050ed5cd04a4f2e6,2025-10-22 07:16,Eksamensdato forespørsel,når er eksamen ?,"Privatisteksamen arrangeres to ganger i året:

- Høsteksamen: november - desember
- Våreksamen: april – juni

Eksamensdato og sted for muntlig og muntlig-praktisk eksamen publiseres i Privatistportalen ca. 1. november for høsteksamen og ca. 1. april for våreksamen. Datoer for skriftlige fag finner du i Privatistportalen når du melder deg opp. Du finner også eksamensdatoer på nettsidene til Telemark fylkeskommune. Det er ikke mulig å bytte oppsatte eksamensdatoer.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f88c14f4ac81978feb1cf99a3ed0fb074c9267749b4a6b,2025-10-22 07:47,Hello from AI Assistant,Hei,"Hei! Hvordan kan jeg hjelpe deg med spørsmål om privatisteksamen i dag?

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f88cbe40b08195a49595d7d50fee2f0199ff39285a1725,2025-10-22 07:50,Eksamen sted og detaljer,hvor gjennomføres eksamen,"Skriftlig eksamen for privatister gjennomføres for de aller fleste i Porsgrunn Tennishall. Oppmøtetid er kl. 08.00. Adressen er Kjølnes Ring 64, 3918 Porsgrunn.

Muntlig og muntlig-praktisk eksamen arrangeres hovedsakelig på Skien videregående skole. Dato og sted for muntlig og muntlig-praktisk eksamen publiseres i Privatistportalen ca. 1. november for høsteksamen og ca. 1. april for våreksamen.

Praktisk eksamen for privatister blir for de aller fleste gjennomført ved en av de videregående skolene i fylket. Eksamensdato og sted for praktisk eksamen publiseres fortløpende i Privatistportalen.

I noen tilfeller kan eksamen arrangeres i et annet fylke, for eksempel hvis det ikke finnes sensorer i Telemark for det aktuelle faget. Da må du selv dekke eventuelle reisekostnader.

Du kan ikke bytte eller endre eksamensdato, tid eller eksamenssted .

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
cthr_68f88cbe40b08195a49595d7d50fee2f0199ff39285a1725,2025-10-22 07:51,Eksamen sted og detaljer,hvordan forbereder jeg meg til eksamen,"Eksamen for privatister gjennomføres vanligvis på Skien videregående skole når det gjelder muntlig og muntlig-praktisk eksamen. Praktisk eksamen kan også foregå på andre videregående skoler i fylket. Skriftlig eksamen for de fleste privatister foregår i Porsgrunn Tennishall. Oppmøtetid for skriftlig eksamen er kl. 08.00. Det er viktig å merke seg at noen eksamener kan bli arrangert i et annet fylke hvis det ikke finnes sensorer i Telemark, og da må du selv dekke eventuelle reisekostnader. Dato og sted for eksamen finner du i Privatistportalen når du har meldt deg opp til eksamen. Du kan ikke bytte eksamensdato eller sted.

Denne informasjonen gjelder privatisteksamen. Les mer på www.telemarkfylke.no

Responsen er KI-generert og kan inneholde feil."
